Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
13865;1000000522237159386;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.165, 0.102, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.165, 0.102, 0.981);(-0.033, 0.000, 0.000);0.289;3.688;12.765;VALID;(-0.165, 0.102, 0.981);(0.033, 0.000, 0.000);0.317;3.882;12.245;2;0
13866;1000000522242161018;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.101, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.164, 0.101, 0.981);(-0.033, 0.000, 0.000);0.289;3.686;12.765;VALID;(-0.164, 0.101, 0.981);(0.033, 0.000, 0.000);0.316;3.871;12.245;2;0
13867;1000000522247162645;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.101, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.164, 0.101, 0.981);(-0.033, 0.000, 0.000);0.289;3.684;12.765;VALID;(-0.164, 0.101, 0.981);(0.033, 0.000, 0.000);0.316;3.864;12.245;2;0
13868;1000000522252164265;63862092735028;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.101, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.164, 0.101, 0.981);(-0.033, 0.000, 0.000);0.288;3.682;12.765;VALID;(-0.164, 0.101, 0.981);(0.033, 0.000, 0.000);0.315;3.859;12.245;2;0
13869;1000000522257165878;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.100, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.164, 0.100, 0.981);(-0.033, 0.000, 0.000);0.288;3.679;12.765;VALID;(-0.164, 0.100, 0.981);(0.033, 0.000, 0.000);0.315;3.856;12.245;2;0
13870;1000000522262167621;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.100, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.164, 0.100, 0.981);(-0.033, 0.000, 0.000);0.288;3.675;12.765;VALID;(-0.164, 0.100, 0.981);(0.033, 0.000, 0.000);0.315;3.854;12.245;2;0
13871;1000000522267169493;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.100, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.164, 0.100, 0.981);(-0.033, 0.000, 0.000);0.288;3.673;12.765;VALID;(-0.164, 0.100, 0.981);(0.033, 0.000, 0.000);0.315;3.854;12.245;2;0
13872;1000000522272171494;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.165, 0.100, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.165, 0.100, 0.981);(-0.033, 0.000, 0.000);0.288;3.670;12.765;VALID;(-0.165, 0.100, 0.981);(0.033, 0.000, 0.000);0.316;3.873;12.245;2;0
13873;1000000522277173624;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.166, 0.100, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.166, 0.100, 0.981);(-0.033, 0.000, 0.000);0.287;3.668;12.765;VALID;(-0.166, 0.100, 0.981);(0.033, 0.000, 0.000);0.317;3.880;12.245;2;0.1915952
13874;1000000522282175854;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.167, 0.100, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.167, 0.100, 0.981);(-0.033, 0.000, 0.000);0.287;3.666;12.765;VALID;(-0.167, 0.100, 0.981);(0.033, 0.000, 0.000);0.317;3.884;12.245;2;0.4102204
13875;1000000522287178158;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.168, 0.100, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.168, 0.100, 0.981);(-0.033, 0.000, 0.000);0.287;3.664;12.765;VALID;(-0.168, 0.100, 0.981);(0.033, 0.000, 0.000);0.318;3.896;12.245;2;0.4494601
13876;1000000522292176993;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.168, 0.099, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.168, 0.099, 0.981);(-0.033, 0.000, 0.000);0.287;3.662;12.765;VALID;(-0.168, 0.099, 0.981);(0.033, 0.000, 0.000);0.318;3.893;12.245;2;0.5155139
13877;1000000522297179157;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.168, 0.099, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.168, 0.099, 0.981);(-0.033, 0.000, 0.000);0.287;3.659;12.765;VALID;(-0.168, 0.099, 0.981);(0.033, 0.000, 0.000);0.317;3.886;12.245;2;0.618111
13878;1000000522302181177;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.169, 0.099, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.169, 0.099, 0.981);(-0.033, 0.000, 0.000);0.286;3.656;12.765;VALID;(-0.169, 0.099, 0.981);(0.033, 0.000, 0.000);0.317;3.888;12.245;2;0.6346963
13879;1000000522307183055;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.169, 0.099, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.169, 0.099, 0.981);(-0.033, 0.000, 0.000);0.286;3.654;12.765;VALID;(-0.169, 0.099, 0.981);(0.033, 0.000, 0.000);0.317;3.883;12.245;2;0.6288267
13880;1000000522312184791;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.169, 0.098, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.169, 0.098, 0.981);(-0.033, 0.000, 0.000);0.286;3.652;12.765;VALID;(-0.169, 0.098, 0.981);(0.033, 0.000, 0.000);0.317;3.876;12.245;2;0.6595081
13881;1000000522317186386;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.169, 0.098, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.169, 0.098, 0.981);(-0.033, 0.000, 0.000);0.286;3.650;12.765;VALID;(-0.169, 0.098, 0.981);(0.033, 0.000, 0.000);0.316;3.869;12.245;2;0.6515653
13882;1000000522322187975;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.170, 0.098, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.170, 0.098, 0.981);(-0.033, 0.000, 0.000);0.286;3.648;12.765;VALID;(-0.170, 0.098, 0.981);(0.033, 0.000, 0.000);0.316;3.871;12.245;2;0.5785947
13883;1000000522327189559;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.170, 0.098, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.170, 0.098, 0.981);(-0.033, 0.000, 0.000);0.286;3.647;12.765;VALID;(-0.170, 0.098, 0.981);(0.033, 0.000, 0.000);0.316;3.869;12.245;2;0.5474433
13884;1000000522332191137;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.170, 0.098, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.170, 0.098, 0.981);(-0.033, 0.000, 0.000);0.286;3.646;12.765;VALID;(-0.170, 0.098, 0.981);(0.033, 0.000, 0.000);0.316;3.864;12.245;2;0.5789981
13885;1000000522337192709;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.170, 0.098, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.170, 0.098, 0.981);(-0.033, 0.000, 0.000);0.285;3.644;12.765;VALID;(-0.170, 0.098, 0.981);(0.033, 0.000, 0.000);0.315;3.860;12.245;2;0.5737306
13886;1000000522342194384;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.171, 0.098, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.171, 0.098, 0.981);(-0.033, 0.000, 0.000);0.285;3.643;12.765;VALID;(-0.171, 0.098, 0.981);(0.033, 0.000, 0.000);0.316;3.864;12.245;2;0.4348102
13887;1000000522347196188;63862092735029;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.171, 0.097, 0.980);(0.000, 0.000, 0.000);63.875;VALID;(-0.171, 0.097, 0.980);(-0.033, 0.000, 0.000);0.285;3.642;12.765;VALID;(-0.171, 0.097, 0.980);(0.033, 0.000, 0.000);0.315;3.859;12.245;2;0.3519795
13888;1000000522352198121;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.171, 0.097, 0.980);(0.000, 0.000, 0.000);63.875;VALID;(-0.171, 0.097, 0.980);(-0.033, 0.000, 0.000);0.285;3.641;12.765;VALID;(-0.171, 0.097, 0.980);(0.033, 0.000, 0.000);0.315;3.860;12.245;2;0.2986151
13889;1000000522357200182;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.171, 0.097, 0.980);(0.000, 0.000, 0.000);63.875;VALID;(-0.171, 0.097, 0.980);(-0.033, 0.000, 0.000);0.285;3.640;12.765;VALID;(-0.171, 0.097, 0.980);(0.033, 0.000, 0.000);0.315;3.852;12.245;2;0.223817
13890;1000000522362202372;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.171, 0.097, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.171, 0.097, 0.981);(-0.033, 0.000, 0.000);0.285;3.638;12.765;VALID;(-0.171, 0.097, 0.981);(0.033, 0.000, 0.000);0.314;3.846;12.245;2;0.2550806
13891;1000000522367204609;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.170, 0.097, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.170, 0.097, 0.981);(-0.033, 0.000, 0.000);0.285;3.637;12.765;VALID;(-0.170, 0.097, 0.981);(0.033, 0.000, 0.000);0.314;3.841;12.245;2;0.2874689
13892;1000000522372206837;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.170, 0.097, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.170, 0.097, 0.981);(-0.033, 0.000, 0.000);0.285;3.636;12.765;VALID;(-0.170, 0.097, 0.981);(0.033, 0.000, 0.000);0.311;3.802;12.245;2;0.2437043
13893;1000000522377208975;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.169, 0.096, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.169, 0.096, 0.981);(-0.033, 0.000, 0.000);0.285;3.635;12.765;VALID;(-0.169, 0.096, 0.981);(0.033, 0.000, 0.000);0.310;3.790;12.245;2;0.249126
13894;1000000522382210969;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.169, 0.096, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.169, 0.096, 0.981);(-0.033, 0.000, 0.000);0.285;3.634;12.765;VALID;(-0.169, 0.096, 0.981);(0.033, 0.000, 0.000);0.309;3.785;12.245;2;0.2953345
13895;1000000522387212821;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.169, 0.096, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.169, 0.096, 0.981);(-0.033, 0.000, 0.000);0.285;3.633;12.765;VALID;(-0.169, 0.096, 0.981);(0.033, 0.000, 0.000);0.309;3.782;12.245;2;0.3273176
13896;1000000522392214559;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.169, 0.096, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.169, 0.096, 0.981);(-0.033, 0.000, 0.000);0.285;3.632;12.765;VALID;(-0.169, 0.096, 0.981);(0.033, 0.000, 0.000);0.310;3.793;12.245;2;0.2928924
13897;1000000522397216183;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.168, 0.096, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.168, 0.096, 0.981);(-0.033, 0.000, 0.000);0.284;3.631;12.765;VALID;(-0.168, 0.096, 0.981);(0.033, 0.000, 0.000);0.309;3.784;12.245;2;0.3121903
13898;1000000522402217801;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.168, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.168, 0.095, 0.981);(-0.033, 0.000, 0.000);0.284;3.630;12.765;VALID;(-0.168, 0.095, 0.981);(0.033, 0.000, 0.000);0.308;3.776;12.245;2;0.3699952
13899;1000000522407219414;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.168, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.168, 0.095, 0.981);(-0.033, 0.000, 0.000);0.284;3.630;12.765;VALID;(-0.168, 0.095, 0.981);(0.033, 0.000, 0.000);0.309;3.781;12.245;2;0.3294002
13900;1000000522412221021;63862092735030;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.168, 0.095, 0.981);(0.000, 0.000, 0.000);63.875;VALID;(-0.168, 0.095, 0.981);(-0.033, 0.000, 0.000);0.284;3.629;12.765;VALID;(-0.168, 0.095, 0.981);(0.033, 0.000, 0.000);0.310;3.794;12.245;2;0.3375825
