Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
6326;1000000484527981846;63862092697393;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.058, -0.020, 0.998);(0.000, 0.000, 0.000);64.175;VALID;(-0.058, -0.020, 0.998);(-0.033, 0.000, 0.000);0.000;4.470;0.000;VALID;(-0.058, -0.020, 0.998);(0.033, 0.000, 0.000);0.000;5.186;0.000;2;0.3286844
6327;1000000484532984201;63862092697393;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.058, -0.019, 0.998);(0.000, 0.000, 0.000);64.175;VALID;(-0.058, -0.019, 0.998);(-0.033, 0.000, 0.000);0.000;4.474;0.000;VALID;(-0.058, -0.019, 0.998);(0.033, 0.000, 0.000);0.000;5.185;0.000;2;0.3631871
6328;1000000484537986683;63862092697393;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.059, -0.017, 0.998);(0.000, 0.000, 0.000);64.175;VALID;(-0.059, -0.017, 0.998);(-0.033, 0.000, 0.000);0.000;4.475;0.000;VALID;(-0.059, -0.017, 0.998);(0.033, 0.000, 0.000);0.000;5.185;0.000;2;0.4057896
6329;1000000484542989292;63862092697393;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.060, -0.016, 0.998);(0.000, 0.000, 0.000);64.175;VALID;(-0.060, -0.016, 0.998);(-0.033, 0.000, 0.000);0.000;4.476;0.000;VALID;(-0.060, -0.016, 0.998);(0.033, 0.000, 0.000);0.000;5.185;0.000;2;0.4053859
6330;1000000484547988539;63862092697394;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.061, -0.014, 0.998);(0.000, 0.000, 0.000);64.175;VALID;(-0.061, -0.014, 0.998);(-0.033, 0.000, 0.000);0.000;4.477;0.000;VALID;(-0.061, -0.014, 0.998);(0.033, 0.000, 0.000);0.000;5.185;0.000;2;0.4455923
6331;1000000484552991358;63862092697394;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.061, -0.012, 0.998);(0.000, 0.000, 0.000);64.175;VALID;(-0.061, -0.012, 0.998);(-0.033, 0.000, 0.000);0.000;4.477;0.000;VALID;(-0.061, -0.012, 0.998);(0.033, 0.000, 0.000);0.000;5.183;0.000;2;0.5699128
6332;1000000484557994167;63862092697394;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.062, -0.010, 0.998);(0.000, 0.000, 0.000);63.625;VALID;(-0.062, -0.010, 0.998);(-0.033, 0.000, 0.000);0.000;4.478;0.000;VALID;(-0.062, -0.010, 0.998);(0.033, 0.000, 0.000);0.000;5.181;0.000;2;0.5665246
6333;1000000484562996939;63862092697394;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.062, -0.009, 0.998);(0.000, 0.000, 0.000);63.625;VALID;(-0.062, -0.009, 0.998);(-0.033, 0.000, 0.000);0.000;4.478;0.000;VALID;(-0.062, -0.009, 0.998);(0.033, 0.000, 0.000);0.000;5.181;0.000;2;0.5972584
6334;1000000484567999620;63862092697394;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.063, -0.007, 0.998);(0.000, 0.000, 0.000);63.625;VALID;(-0.063, -0.007, 0.998);(-0.033, 0.000, 0.000);0.000;4.479;0.000;VALID;(-0.063, -0.007, 0.998);(0.033, 0.000, 0.000);0.000;5.179;0.000;2;0.6695288
6335;1000000484573002155;63862092697394;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.064, -0.006, 0.998);(0.000, 0.000, 0.000);63.625;VALID;(-0.064, -0.006, 0.998);(-0.033, 0.000, 0.000);0.000;4.479;0.000;VALID;(-0.064, -0.006, 0.998);(0.033, 0.000, 0.000);0.000;5.177;0.000;2;0.6759415
6336;1000000484578004545;63862092697394;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.065, -0.005, 0.998);(0.000, 0.000, 0.000);63.625;VALID;(-0.065, -0.005, 0.998);(-0.033, 0.000, 0.000);0.000;4.479;0.000;VALID;(-0.065, -0.005, 0.998);(0.033, 0.000, 0.000);0.000;5.176;0.000;2;0.7223019
6337;1000000484583006818;63862092697394;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.066, -0.003, 0.998);(0.000, 0.000, 0.000);63.625;VALID;(-0.066, -0.003, 0.998);(-0.033, 0.000, 0.000);0.000;4.479;0.000;VALID;(-0.066, -0.003, 0.998);(0.033, 0.000, 0.000);0.000;5.176;0.000;2;0.745872
6338;1000000484588008948;63862092697394;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.066, -0.002, 0.998);(0.000, 0.000, 0.000);63.625;VALID;(-0.066, -0.002, 0.998);(-0.033, 0.000, 0.000);0.000;4.478;0.000;VALID;(-0.066, -0.002, 0.998);(0.033, 0.000, 0.000);0.000;5.177;0.000;2;0.7778921
6339;1000000484593010936;63862092697394;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.067, -0.001, 0.998);(0.000, 0.000, 0.000);63.625;VALID;(-0.067, -0.001, 0.998);(-0.033, 0.000, 0.000);0.000;4.476;0.000;VALID;(-0.067, -0.001, 0.998);(0.033, 0.000, 0.000);0.000;5.176;0.000;2;0.7805208
6340;1000000484598012836;63862092697395;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.068, -0.001, 0.998);(0.000, 0.000, 0.000);63.625;VALID;(-0.068, -0.001, 0.998);(-0.033, 0.000, 0.000);0.000;4.475;0.000;VALID;(-0.068, -0.001, 0.998);(0.033, 0.000, 0.000);0.000;5.175;0.000;2;0.7610121
6341;1000000484603014865;63862092697395;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.069, 0.000, 0.998);(0.000, 0.000, 0.000);63.625;VALID;(-0.069, 0.000, 0.998);(-0.033, 0.000, 0.000);0.000;4.472;0.000;VALID;(-0.069, 0.000, 0.998);(0.033, 0.000, 0.000);0.000;5.173;0.000;2;0.7565474
